,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,CLEAN_TP9,CLEAN_AF7,CLEAN_AF8,CLEAN_TP10
47:47.1,56.29709082,-13.37653742,-11.28343629,41.19285941,0.369379329,-0.01446265,-0.007573411,0.012710631
47:47.1,47.43262196,-11.7648158,-6.44827145,59.32472754,0.563508359,-0.022712948,-0.011157394,0.01942979
47:47.1,25.2714498,-10.5560246,-6.045341047,31.11959933,0.643193578,-0.02609958,-0.012628479,0.022187845
47:47.1,28.09196262,-14.98825903,-10.07464508,24.26978248,0.712262901,-0.029221059,-0.013790069,0.024589644
47:47.1,49.04434357,-14.18239822,-6.44827145,41.59578981,0.772812385,-0.032146655,-0.01469295,0.026706544
47:47.2,38.56815309,-15.39118943,-7.657062659,41.59578981,0.736584957,-0.031101837,-0.013722187,0.025482384
47:47.2,,,,,0.622985468,-0.026952976,-0.011210595,0.021591306
47:47.2,49.04434357,-14.18239822,-6.44827145,41.59578981,0.508273489,-0.022395226,-0.00889912,0.017639991
47:47.2,49.04434357,-14.18239822,-6.44827145,41.59578981,0.386685287,-0.017143664,-0.006705741,0.013426544
47:47.2,49.04434357,-14.18239822,-6.44827145,41.59578981,0.232701401,-0.010409346,-0.003978942,0.008085454
47:47.2,49.04434357,-14.18239822,-6.44827145,41.59578981,0.062709218,-0.002745042,-0.001108937,0.002175285
47:47.2,49.04434357,-14.18239822,-6.44827145,41.59578981,-0.194729038,0.008575738,0.003412036,-0.006757951
47:47.2,23.65972818,-17.00291104,-10.47757548,35.14890336,-0.545049646,0.023752962,0.009703299,-0.018900548
47:47.2,30.50954503,-14.18239822,-7.254132256,42.40165062,-0.940838615,0.041046043,0.016722024,-0.032627915
47:47.2,34.94177947,-13.77946782,-6.851201853,49.25146747,-1.399617336,0.061129862,0.024834256,-0.048542306
47:47.2,24.06265859,-15.39118943,-4.836549838,35.95476417,-1.790087552,0.078194422,0.031756299,-0.062085432
47:47.2,26.0773106,-12.97360701,-5.239480241,39.5811378,-2.095666847,0.091547152,0.037174587,-0.072684076
47:47.2,53.476578,-10.15309419,-8.059993062,48.44560666,-2.392059817,0.104466097,0.042449747,-0.082962158
47:47.2,59.52053405,-11.7648158,-8.462923465,48.84853706,-2.641547263,0.115293648,0.046918715,-0.091610868
47:47.2,32.52419705,-7.332581372,-5.239480241,49.65439787,-2.910559119,0.127050626,0.051687327,-0.100941343
47:47.2,32.92712745,-9.75016379,-4.433619436,22.25513047,-3.204910785,0.139990985,0.056858796,-0.111155272
47:47.2,48.64141317,-17.00291104,-6.851201853,31.11959933,-3.458078212,0.151143716,0.06129271,-0.119941496
47:47.2,31.31540584,-15.39118943,-4.030689033,59.32472754,-3.683444845,0.161119648,0.065210497,-0.127765768
47:47.2,14.39232892,-16.19705024,-2.821897824,29.50787772,-3.994410667,0.17478631,0.070676357,-0.138555958
47:47.2,28.49489302,-15.39118943,-2.418967421,21.44926966,-4.391872978,0.192170714,0.077713644,-0.152342457
47:47.2,22.45093698,-16.59998064,-5.239480241,31.92546014,-4.829833971,0.211324518,0.085469173,-0.167533588
47:47.2,14.79525932,-20.22635427,-10.07464508,32.73132095,-5.336521816,0.233457166,0.094458124,-0.185106966
47:47.2,18.42163295,-17.40584145,-9.671714674,39.17820739,-5.828216706,0.25494509,0.103174877,-0.202160959
47:47.2,17.61577214,-13.37653742,-6.045341047,8.555496769,-6.299528752,0.27555937,0.111519836,-0.21850902
47:47.2,30.10661463,-17.00291104,-5.239480241,1.302749516,-6.815482195,0.2981041,0.120668679,-0.236404198
47:47.2,28.09196262,-21.03221507,-10.07464508,25.8815041,-7.357491427,0.321775719,0.130286635,-0.255202388
47:47.2,9.557164081,-18.61463265,-7.254132256,34.34304256,-7.775596857,0.340045892,0.137699872,-0.269703891
47:47.3,11.9747465,-15.39118943,-5.642410644,10.57014878,-8.061769608,0.352561029,0.142767711,-0.279630068
47:47.3,12.3776769,-16.19705024,-9.268784271,12.5848008,-8.273033257,0.361807238,0.146504676,-0.286958375
47:47.3,17.21284174,-14.58532863,-4.030689033,32.73132095,-8.367724282,0.365969056,0.148168921,-0.290244069
47:47.3,20.43628496,-14.58532863,-4.836549838,12.5848008,-8.447546187,0.369468758,0.149577079,-0.293013302
47:47.3,10.36302489,-18.21170225,-9.268784271,-1.517763304,-8.514844594,0.372407789,0.15077138,-0.295347364
47:47.3,11.9747465,-16.19705024,-9.268784271,22.65806087,-8.481086933,0.370932276,0.150173074,-0.294176496
47:47.3,10.36302489,-18.21170225,-9.268784271,-1.517763304,-8.365133453,0.36586137,0.148119612,-0.290154541
47:47.3,10.36302489,-18.21170225,-9.268784271,-1.517763304,-8.251410633,0.360887827,0.146105769,-0.286209948
47:47.3,10.36302489,-18.21170225,-9.268784271,-1.517763304,-8.134618906,0.355781684,0.144036595,-0.282159004
47:47.3,10.36302489,-18.21170225,-9.268784271,-1.517763304,-7.984808621,0.34922875,0.141384401,-0.276962612
47:47.3,10.36302489,-18.21170225,-9.268784271,-1.517763304,-7.820443575,0.342036966,0.138475879,-0.271261233
47:47.3,27.68903221,-13.37653742,-6.045341047,46.02802424,-7.565186784,0.330871927,0.133956718,-0.262407289
47:47.3,45.01503954,-11.3618854,-4.030689033,24.67271289,-7.213059573,0.315471694,0.127721331,-0.250193375
47:47.3,12.3776769,-13.37653742,-6.851201853,6.137914352,-6.815597951,0.298088452,0.120683366,-0.236406968
47:47.3,-9.380564857,-20.62928467,-4.433619436,30.31373853,-6.3541156,0.27790571,0.11251147,-0.220399959
47:47.3,21.24214577,-21.03221507,-4.433619436,31.52252974,-5.956317278,0.260507765,0.105467529,-0.206601875
47:47.3,20.03335456,-16.59998064,-10.07464508,16.21117443,-5.638883367,0.246623965,0.099847017,-0.195591283
47:47.3,-0.113165589,-15.39118943,-8.865853868,-11.18809297,-5.326938087,0.232980553,0.094323486,-0.184771091
47:47.3,14.39232892,-17.00291104,-8.462923465,1.302749516,-5.057279414,0.221186678,0.089548672,-0.175417663
47:47.3,28.09196262,-18.61463265,-10.88050588,27.0902953,-4.766419122,0.20846549,0.084398464,-0.165328831
47:47.3,11.16888569,-17.80877185,-6.851201853,10.57014878,-4.448556385,0.194563404,0.078770072,-0.154303393
47:47.3,8.348372872,-17.40584145,-5.239480241,15.00238322,-4.167924645,0.182289622,0.073800951,-0.144569353
47:47.3,16.00405053,-15.39118943,-9.268784271,-7.158788945,-3.911696457,0.171083131,0.069263959,-0.135681776
47:47.3,8.348372872,-16.19705024,-7.657062659,0.899819113,-3.567155184,0.156014171,0.063163206,-0.123730959
47:47.3,-0.113165589,-17.40584145,-4.433619436,28.29908651,-3.133148586,0.13703233,0.0554783,-0.108676931
47:47.3,12.78060731,-15.79411983,-5.642410644,29.50787772,-2.655670108,0.116149187,0.047023644,-0.09211503
47:47.3,45.41796994,-11.7648158,-5.642410644,10.97307919,-2.106563146,0.09213328,0.03730067,-0.073068612
47:47.3,24.86851939,-9.75016379,-7.657062659,-6.755858542,-1.568434826,0.068597538,0.027772094,-0.054403
47:47.3,4.319068843,-10.5560246,-9.268784271,-2.32362411,-1.046588367,0.045773904,0.018531819,-0.036302144
47:47.3,19.63042415,-12.57067661,-7.254132256,3.317401531,-0.476552946,0.020842663,0.008438268,-0.016529797
47:47.3,2.304416828,-12.97360701,-4.433619436,4.123262337,0.123387374,-0.005396507,-0.002184806,0.004279836
47:47.3,-5.351260827,-10.15309419,-0.001385003,-10.78516257,0.618558732,-0.027053471,-0.010952748,0.021455435
47:47.3,-1.724887201,-12.16774621,2.013267011,-11.99395378,1.002526237,-0.043846789,-0.017751616,0.034773798
47:47.3,7.139581664,-12.57067661,-0.404315406,12.9877312,1.325451187,-0.057970332,-0.023469611,0.045974828
47:47.3,21.24214577,-10.5560246,0.4015454,34.74597296,1.550177934,-0.067799049,-0.027448822,0.053769739
47:47.4,20.03335456,-8.944302984,2.416197414,33.53718175,1.76962602,-0.077396896,-0.031334563,0.061381553
47:47.4,46.22383075,-10.5560246,2.013267011,19.43461765,1.985954749,-0.086858315,-0.035165071,0.068885168
47:47.4,20.03335456,-8.944302984,2.416197414,33.53718175,2.119211161,-0.092686457,-0.037524627,0.073507323
47:47.4,20.03335456,-8.944302984,2.416197414,33.53718175,2.186773747,-0.095641395,-0.03872095,0.075850811
47:47.4,20.03335456,-8.944302984,2.416197414,33.53718175,2.262369441,-0.098947671,-0.040059514,0.078472936
47:47.4,20.03335456,-8.944302984,2.416197414,33.53718175,2.341152291,-0.102393341,-0.041454513,0.081205611
47:47.4,20.03335456,-8.944302984,2.416197414,33.53718175,2.397654002,-0.104864517,-0.042454982,0.083165439
47:47.4,15.60112013,-12.16774621,1.610336608,16.21117443,2.447986452,-0.107065872,-0.043346213,0.084911279
47:47.4,-19.45382493,-7.735511775,2.416197414,3.317401531,2.424846821,-0.106053831,-0.042936482,0.084108654
47:47.4,3.513208037,-8.138442178,3.22205822,2.108610322,2.323123897,-0.101604846,-0.041135286,0.080580275
47:47.4,7.542512067,-6.526720566,7.654292652,16.61410483,2.188163554,-0.09570218,-0.038745559,0.075899018
47:47.4,13.58646811,-4.109138149,6.445501444,8.152566366,2.003565078,-0.087628525,-0.035476895,0.069496003
47:47.4,11.16888569,-8.541372581,-0.001385003,8.958427172,1.885937379,-0.082483925,-0.033394075,0.065415949
47:47.4,0.289764814,-12.97360701,-2.418967421,17.01703523,1.850424397,-0.080930718,-0.032765251,0.064184139
47:47.4,14.39232892,-12.57067661,-1.613106615,29.10494732,1.829235457,-0.080003993,-0.032390061,0.063449176
47:47.4,12.78060731,-8.944302984,2.416197414,18.22582644,1.856011672,-0.081175085,-0.032864184,0.06437794
47:47.4,9.154233678,-11.3618854,3.624988623,-7.158788945,1.872579374,-0.081899695,-0.033157547,0.06495261
47:47.5,23.25679778,-13.37653742,2.013267011,6.137914352,1.873802675,-0.081953198,-0.033179207,0.064995042
47:47.5,18.42163295,-11.3618854,4.027919026,10.97307919,1.918539386,-0.083909816,-0.033971355,0.066546787
47:47.5,-4.142469618,-8.944302984,6.848431847,16.61410483,1.995134747,-0.087259814,-0.03532762,0.069203587
47:47.5,-20.25968574,-4.512068552,7.251362249,4.123262337,2.001680452,-0.087546099,-0.035443524,0.069430633
47:47.5,-8.574704051,-6.929650969,5.236710235,-12.39688418,1.937327056,-0.084731519,-0.034304026,0.06719846
47:47.5,8.751303275,-7.735511775,4.833779832,-7.158788945,1.843722694,-0.080637611,-0.032646585,0.063951683
47:47.5,-5.75419123,-8.541372581,2.416197414,9.764287978,1.695524412,-0.074155966,-0.030022455,0.058811252
47:47.5,-9.783495259,-9.347233387,-0.001385003,23.86685208,1.567803437,-0.068569923,-0.027760914,0.0543811
47:47.5,1.901486426,-5.72085976,7.251362249,10.57014878,1.465486074,-0.06409494,-0.025949193,0.050832102
47:47.5,4.721999246,-6.929650969,7.251362249,0.899819113,1.330278223,-0.058181449,-0.023555083,0.046142259
47:47.5,9.557164081,-9.347233387,0.4015454,9.764287978,1.178898597,-0.051560664,-0.020874621,0.04089148
47:47.5,-0.113165589,-8.541372581,2.416197414,9.764287978,1.011843317,-0.044254284,-0.017916593,0.035096971
47:47.5,-17.03624251,-6.123790163,6.445501444,12.9877312,0.822560074,-0.035975735,-0.014564976,0.02853146
47:47.5,-25.09485057,-7.332581372,7.654292652,-3.532415319,0.622614523,-0.027230856,-0.011024563,0.021596115
47:47.5,-8.977634454,-8.541372581,3.624988623,-5.949997736,0.410368477,-0.017947999,-0.007266347,0.014234112
47:47.5,-9.380564857,-8.138442178,4.430849429,-1.517763304,0.1713628,-0.007494775,-0.003034301,0.00594392
47:47.5,-8.977634454,-8.541372581,3.624988623,-5.949997736,-0.093879638,0.004105948,0.001662316,-0.003256325
47:47.5,-8.977634454,-8.541372581,3.624988623,-5.949997736,-0.380068902,0.016622808,0.006729836,-0.013183135
47:47.5,-8.977634454,-8.541372581,3.624988623,-5.949997736,-0.690496831,0.030199777,0.012226548,-0.023950692
47:47.5,-8.977634454,-8.541372581,3.624988623,-5.949997736,-1.004656286,0.04393995,0.017789333,-0.034847681
